numeroPrecedente,orgaoJulgador,materia,dj,dp,situacao,n_proc,n_trib,tribs,justica,tese_len,n_artigos,numeroRepercussaoGeralSTF,cit_stj_ctx,cit_any,window_strict,teseFirmada,questaoSubmetidaAJulgamento,referenciaLegislativa,Assuntos
1199,S1,Taxa de Ocupação / Laudêmio / Foro,2023-09-13,2023-09-15,Trânsito em Julgado,2,1,TRF1,Justiça Federal,437,0,1201,1,43,True,"Nos procedimentos de demarcação de terrenos de marinha, é válido o ato jurídico de chamamento de interessados certos ou incertos à participação colaborativa com a Administração formalizado exclusivamente por meio de edital, desde que o ato tenha sido praticado no período de 31/05/2007 até 28/03/2011, em que produziu efeitos jurídicos a alteração legislativa do art. 11 do Decreto-lei 9.760/46 promovida pelo art. 5º da Lei 11.481/2007.","Imprescindibilidade da notificação pessoal dos interessados, nos procedimentos de demarcação de terrenos de marinha, ainda que realizados e homologados anteriormente ao julgamento da medida cautelar na ADI 4.264/PE.",,10401- Taxa de Ocupação / Laudêmio / Foro
1132,S2,Direito Civil,2023-08-09,2023-10-20,Trânsito em Julgado,2,1,TJRS,Justiça Estadual,363,0,,1,4,True,"Em ação de busca e apreensão fundada em contratos garantidos com alienação fiduciária (art. 2º, § 2º, do Decreto-Lei n. 911/1969), para a comprovação da mora, é suficiente o envio de notificação extrajudicial ao devedor no endereço indicado no instrumento contratual, dispensando-se a prova do recebimento, quer seja pelo próprio destinatário, quer por terceiros.","Definir se, para a comprovação da mora nos contratos garantidos por alienação fiduciária, é suficiente, ou não, o envio de notificação extrajudicial ao endereço do devedor indicado no instrumento contratual, dispensando-se, por conseguinte, que a assinatura do aviso de recebimento seja do próprio destinatário.",,"9582- Alienação Fiduciária, 899- DIREITO CIVIL, 7681- Obrigações, 9580- Espécies de Contratos"
1143,S3,Direito Penal,2023-09-13,2023-09-19,Trânsito em Julgado,2,1,TRF3,Justiça Federal,403,0,,1,3,True,"O princípio da insignificância é aplicável ao crime de contrabando de cigarros quando a quantidade apreendida não ultrapassar 1.000 (mil) maços, seja pela diminuta reprovabilidade da conduta, seja pela necessidade de se dar efetividade à repressão ao contrabando de vulto, excetuada a hipótese de reiteração da conduta, circunstância apta a indicar maior reprovabilidade e periculosidade social da ação.","O princípio da insignificância não se aplica aos crimes de contrabando de cigarros, por menor que possa ter sido o resultado da lesão patrimonial, pois a conduta atinge outros bens jurídicos, como a saúde, a segurança e a moralidade pública.",,"5872- Crimes Praticados por Particular Contra a Administração em Geral, 10615- Princípio da Insignificância, 287- DIREITO PENAL, 3574- Contrabando ou descaminho"
1069,S2,Planos de saúde,2023-09-13,2023-09-19,Trânsito em Julgado,2,1,TJSPCF,Justiça Estadual,766,0,,1,2,True,"(i) É de cobertura obrigatória pelos planos de saúde a cirurgia plástica de caráter reparador ou funcional indicada pelo médico assistente, em paciente pós-cirurgia bariátrica, visto ser parte decorrente do tratamento da obesidade mórbida.(ii) Havendo dúvidas justificadas e razoáveis quanto ao caráter eminentemente estético da cirurgia plástica indicada ao paciente póscirurgia bariátrica, a operadora de plano de saúde pode se utilizar do procedimento da junta médica, formada para dirimir a divergência técnicoassistencial, desde que arque com os honorários dos respectivos profissionais e sem prejuízo do exercício do direito de ação pelo beneficiário, em caso de parecer desfavorável à indicação clínica do médico assistente, ao qual não se vincula o julgador.",Definição da obrigatoriedade de custeio pelo plano de saúde de cirurgias plásticas em paciente pós-cirurgia bariátrica.,,12486- Planos de saúde
1095,S2,Promessa de Compra e Venda,2022-10-25,2022-12-18,Trânsito em Julgado,2,1,TJSPCF,Justiça Estadual,380,0,,1,2,False,"Em contrato de compra e venda de imóvel com garantia de alienação fiduciária devidamente registrado em cartório, a resolução do pacto, na hipótese de inadimplemento do devedor, devidamente constituído em mora, deverá observar a forma prevista na Lei nº 9.514/97, por se tratar de legislação específica, afastando-se, por conseguinte, a aplicação do Código de Defesa do Consumidor.","Definição da tese alusiva à prevalência, ou não, do Código de Defesa do Consumidor na hipótese de resolução do contrato de compra e venda de bem imóvel com cláusula de alienação fiduciária em garantia.",,10496- Promessa de Compra e Venda
1125,S1,Cofins,2023-12-13,2024-02-28,Trânsito em Julgado,2,2,"TRF3,TRF4",Justiça Federal,161,0,1365,1,2,True,O ICMS-ST não compõe a base de cálculo da Contribuição ao PIS e da COFINS devidas pelo contribuinte substituído no regime de substituição tributária progressiva.,Possibilidade de exclusão do valor correspondente ao ICMS-ST da base de cálculo da Contribuição ao PIS e da COFINS devidas pelo contribuinte substituído.,,"6035- Cofins, 6039- PIS, 10556- Exclusão - ICMS"
1237,S1,IRPJ/Imposto de Renda de Pessoa Jurídica,2024-06-20,2024-06-25,Acórdão Publicado,5,2,"TRF2,TRF4",Justiça Federal,494,0,1314,1,2,True,"Os valores de juros, calculados pela taxa SELIC ou outros índices, recebidos em face de repetição de indébito tributário, na devolução de depósitos judiciais ou nos pagamentos efetuados decorrentes de obrigações contratuais em atraso, por se caracterizarem como Receita Bruta Operacional, estão na base de cálculo das contribuições ao PIS/PASEP e COFINS cumulativas e, por integrarem o conceito amplo de Receita Bruta, na base de cálculo das contribuições ao PIS/PASEP e COFINS não cumulativas.","A possibilidade de incidência das contribuições ao PIS/PASEP e COFINS sobre os valores de juros, calculados pela taxa SELIC, recebidos em face de repetição de indébito tributário, na devolução de depósitos judiciais ou nos pagamentos efetuados por clientes em atraso.",,"5933- IRPJ/Imposto de Renda de Pessoa Jurídica, 6036- Contribuição Social sobre o Lucro Líquido, 10687- Taxa SELIC"
986,S1,ICMS/ Imposto sobre Circulação de Mercad,2024-03-13,2024-05-29,Trânsito em Julgado,5,4,"TJMT,TJRS,TJSP,TJTO",Justiça Estadual,321,0,956,1,1,True,"A Tarifa de Uso do Sistema de Transmissão (TUST) e/ou a Tarifa de Uso de Distribuição (TUSD), quando lançada na fatura de energia elétrica, como encargo a ser suportado diretamente pelo consumidor final (seja ele livre ou cativo), integra, para os fins do art. 13, § 1º, II, 'a', da LC 87/1996, a base de cálculo do ICMS.",Inclusão da Tarifa de Uso do Sistema de Transmissão de Energia Elétrica (TUST) e da Tarifa de Uso do Sistema de Distribuição de Energia Elétrica (TUSD) na base de cálculo do ICMS.,,"5946- ICMS/ Imposto sobre Circulação de Mercadorias, 6011- Fato Gerador/Incidência"
1155,S3,Direito Penal,2022-11-23,2022-11-28,Trânsito em Julgado,1,1,TJSC,Justiça Estadual,818,0,,1,1,False,"1) O período de recolhimento obrigatório noturno e nos dias de folga, por comprometer o status libertatis do acusado, deve ser reconhecido como período a ser detraído da pena privativa de liberdade e da medida de segurança, em homenagem aos princípios da proporcionalidade e do non bis in idem.2) O monitoramento eletrônico associado, atribuição do Estado, não é condição indeclinável para a detração dos períodos de submissão a essas medidas cautelares, não se justificando distinção de tratamento ao investigado ao qual não é determinado e disponibilizado o aparelhamento.3) As horas de recolhimento domiciliar noturno e nos dias de folga devem ser convertidas em dias para contagem da detração da pena. Se no cômputo total remanescer período menor que vinte e quatro horas, essa fração de dia deverá ser desprezada.",a) Definir se o período em que o apenado cumpriu medida cautelar de recolhimento noturno deve ser computado para fins de detração da pena e b) Definir se há necessidade de fiscalização eletrônica para que o tempo de cumprimento de medida cautelar de recolhimento domiciliar noturno seja computado para fins de detração.,,287- DIREITO PENAL
1176,S1,Certificado de Regularidade - FGTS,2024-05-22,2024-05-28,Trânsito em Julgado,3,2,"TRF3,TRF5",Justiça Federal,577,0,,1,1,True,"São eficazes os pagamentos de FGTS realizados diretamente ao empregado, após o advento da Lei 9.491/1997, em decorrência de acordo homologado na Justiça do Trabalho, o que não dispensa a oportuna comunicação do ato aos órgãos de fiscalização competentes. Assegura-se, no entanto, a cobrança de todas as parcelas incorporáveis ao fundo, consistente em multas, correção monetária, juros moratórios e contribuição social, visto que a União Federal e a Caixa Econômica Federal não participaram da celebração do ajuste na via laboral, não sendo por ele prejudicadas (art. 506, CPC).","Definir se são eficazes os pagamentos de FGTS, realizados na vigência da redação do art. 18 da Lei 8.036/1990 dada pela Lei 9.491/1997, diretamente ao empregado, em decorrência de acordocelebrado na Justiça do Trabalho, ao invés de efetivados por meio de depósitos nas contas vinculados do titular.",,"6002- Certificado de Regularidade - FGTS, 9414- Extinção da Execução"
1193,S1,Profissional,2024-08-28,2024-10-23,Trânsito em Julgado,5,1,TRF4,Justiça Federal,368,0,,1,1,True,"O arquivamento das execuções fiscais cujo valor seja inferior ao novo piso fixado no caput do art. 8º da Lei 12.514/2011, previsto no § 2º do artigo referido (acrescentado pela Lei 14.195/2021), o qual constitui norma de natureza processual, que deve ser aplicada de imediato, alcança os executivos fiscais em curso, ressalvados os casos em que concretizada a penhora.","Aplicabilidade das alterações promovidas pela Lei 14.195/2021, no art. 8º da Lei 12.514/2011, às execuções fiscais propostas por conselhos profissionais, antes de sua entrada em vigor.",,"10399- Profissional, 10939- Intimação / Notificação"
1231,S1,Cofins,2024-06-20,2024-06-25,Acórdão Publicado,3,2,"TRF2,TRF4",Justiça Federal,366,0,,1,1,True,"1ª) Os tributos recolhidos em substituição tributária não integram o conceito de custo de aquisição previsto no art. 13, do Decreto-Lei n. 1.598/77;2ª) Os valores pagos pelo contribuinte substituto a título de ICMS-ST não geram, no regime não cumulativo, créditos para fins de incidência das contribuições ao PIS/PASEP e COFINS devidas pelo contribuinte substituído.","Decidir sobre a possibilidade de creditamento, no âmbito do regime não-cumulativo das contribuições ao PIS e  COFINS, dos valores que o contribuinte, na condição de substituído tributário, paga ao contribuinte substituto a título de reembolso pelo recolhimento do ICMS-substituição (ICMS-ST)",,"6035- Cofins, 6039- PIS, 6008- Base de Cálculo"
1170,S1,Contribuição sobre a folha de salários,2024-03-13,2024-05-10,Acórdão Publicado - RE Pendente,4,1,TRF1,Justiça Federal,183,0,,0,17,True,A contribuição previdenciária patronal incide sobre os valores pagos ao trabalhador a título de décimo terceiro salário proporcional relacionado ao período do aviso prévio indenizado.,Definir se é cabível a incidência de contribuição previdenciária sobre os valores pagos a empregado a título de décimo terceiro salário proporcional referente ao aviso prévio indenizado.,,6060- Contribuição sobre a folha de salários
1161,S3,Direito Processual Penal,2023-05-24,2023-06-01,Trânsito em Julgado,2,2,"TJMG,TJRS",Justiça Estadual,331,0,,0,11,True,"A valoração do requisito subjetivo para concessão do livramento condicional - bom comportamento durante da execução da pena (art. 83, inciso III, alínea ""a"", do Código Penal) - deve considerar todo o histórico prisional, não se limitando ao período de 12 meses referido na alínea ""b"" do mesmo inciso III do art. 83 do Código Penal.","Definir se o requisito objetivo do livramento condicional consistente em não ter cometido falta grave nos últimos 12 meses (art. 83, III, ""b"", do CP, inserido pela Lei Anticrime) limita temporalmente a valoração do requisito subjetivo (bom comportamento durante a execução da pena, alínea ""a"" do referido inciso).",,"1209- DIREITO PROCESSUAL PENAL, 10636- Livramento condicional"
1166,S3,Apropriação indébita Previdenciária,2023-10-16,2023-10-19,Trânsito em Julgado,1,1,TRF3,Justiça Federal,313,0,,0,4,True,"O crime de apropriação indébita previdenciária, previsto no art. 168-A, § 1.º, inciso I, do Código Penal, possui natureza de delito material, que só se consuma com a constituição definitiva, na via administrativa, do crédito tributário, consoante o disposto na Súmula Vinculante n. 24 do Supremo Tribunal Federal.","Natureza jurídica (formal ou material) do crime de apropriação indébita previdenciária, previsto no art. 168-A do Código Penal.",,"3430- Apropriação indébita Previdenciária, 10623- Prescrição"
1197,S3,Contra a Mulher,2024-06-12,2024-06-24,Trânsito em Julgado,3,1,TJMS,Justiça Estadual,179,0,,0,4,True,"A aplicação da agravante do art. 61, inc. II, alínea f, do Código Penal (CP), em conjunto com as disposições da Lei Maria da Penha (Lei n. 11.340/2006), não configura bis in idem.","Verificar se a aplicação da agravante do art. 61, II, f, do Código Penal, em conjunto com as disposições da Lei Maria da Penha (Lei 11.340/2006), configuraria bis in idem.",,12194- Contra a Mulher
1214,S3,Furto,2024-08-28,2024-09-12,Trânsito em Julgado,3,1,TJMG,Justiça Estadual,506,0,,0,4,True,"É  obrigatória  a  redução  proporcional  da  pena-base  quando  o tribunal de segunda instância, em recurso exclusivo da defesa, afastar circunstância judicial negativa reconhecida na sentença. Todavia, não implicam reformatio in pejusa mera correção da classificação de um fato já valorado negativamente pela sentença para enquadrá-lo como outra circunstância judicial, nem o simples reforço de fundamentação para  manter  a  valoração  negativa  de  circunstância  já  reputada desfavorável na sentença.","Definir se há obrigatoriedade ou não de redução proporcional da pena-base quando o tribunal de segunda instância, em recurso exclusivo da defesa, afastar circunstância judicial negativa reconhecida na sentença.",,3416- Furto
1172,S3,Furto Qualificado,2023-10-24,2023-10-30,Trânsito em Julgado,1,1,TJRS,Justiça Estadual,206,0,,0,3,True,A reincidência específica como único fundamento só justifica o agravamento da pena em fração mais gravosa que 1/6 em casos excepcionais e mediante detalhada fundamentação baseada em dados concretos do caso.,"Definir se é possível a elevação da pena por circunstância agravante, na fração maior que 1/6, utilizando como fundamento unicamente a reincidência específica do réu.",,3417- Furto Qualificado
1112,S2,Direito Do Consumidor,2023-03-02,2023-03-10,Trânsito em Julgado,2,1,TJSC,Justiça Estadual,722,0,,0,2,True,"(i) na modalidade de contrato de seguro de vida coletivo, cabe exclusivamente ao estipulante, mandatário legal e único sujeito que tem vínculo anterior com os membros do grupo segurável (estipulação própria), a obrigação de prestar informações prévias aos potenciais segurados acerca das condições contratuais quando da formalização da adesão, incluídas as cláusulas limitativas e restritivas de direito previstas na apólice mestre, e (ii) não se incluem, no âmbito da matéria afetada, as causas originadas de estipulação imprópria e de falsos estipulantes, visto que as apólices coletivas nessas figuras devem ser consideradas apólices individuais, no que tange ao relacionamento dos segurados com a sociedade seguradora.",Definir se cabe à seguradora e/ou ao estipulante o dever de prestar informação prévia ao proponente (segurado) a respeito das cláusulas limitativas e restritivas dos contratos de seguro de vida em grupo.,,"1156- DIREITO DO CONSUMIDOR, 7771- Contratos de Consumo, 7621- Seguro"
1114,S3,Direito Processual Penal,2023-09-13,2023-09-25,Trânsito em Julgado,2,1,TJPR,Justiça Estadual,318,0,,0,2,True,"O interrogatório do réu é o último ato da instrução criminal. A inversão da ordem prevista no art. 400 do CPP tangencia somente à oitiva das testemunhas e não ao interrogatório. O eventual reconhecimento da nulidade se sujeita à preclusão, na forma do art. 571, I e II, do CPP, e à demonstração do prejuízo para o réu.","Definir se, com a expedição de precatória, que não suspende a instrução criminal, nos termos do § 1° do art. 222 do Código de Processo Penal, tal situação autoriza ou não a realização de interrogatório do réu em momento diverso do previsto no art. 400 do Código de Processo Penal e se eventual alteração da ordem implica ofensa ao contraditório e à ampla defesa.",,"1209- DIREITO PROCESSUAL PENAL, 4263- Ação Penal"
1120,S3,Direito Processual Penal,2022-09-14,2022-09-20,Trânsito em Julgado,1,1,TJSC,Justiça Estadual,541,0,,0,2,False,"Nada obstante a interpretação restritiva que deve ser conferida ao art. 126, §4º, da LEP, os princípios da individualização da pena, da dignidade da pessoa humana, da isonomia e da fraternidade, ao lado da teoria da derrotabilidade da norma e da situação excepcionalíssima da pandemia de covid-19, impõem o cômputo do período de restrições sanitárias como de efetivo estudo ou trabalho em favor dos presos que já estavam trabalhando ou estudando e se viram impossibilitados de continuar seus afazeres unicamente em razão do estado pandêmico.","Possibilidade ou não de concessão de remição ficta, com extensão do alcance da norma prevista no art. 126, §4º, da Lei de Execução Penal, aos apenados impossibilitados de trabalhar ou estudar em razão da pandemia ocasionada pelo novo coronavírus.",,"1209- DIREITO PROCESSUAL PENAL, 7942- Execução Penal e de Medidas Alternativas, 10637- Remição"
1127,S1,Acesso sem Conclusão do Ensino Médio,2024-05-22,2024-06-13,Trânsito em Julgado,2,1,TJCE,Justiça Estadual,329,0,,0,2,True,"É ilegal menor de 18 anos, mesmo que emancipado ou com altas habilidades, antecipar a conclusão de sua educação básica submetendo-se ao sistema de avaliação diferenciado oferecido pelos Centros de Educação de Jovens e Adultos – CEJAs, ainda que o intuito seja obter o diploma de ensino médio para matricular-se em curso superior.","Possibilidade de menor de 18 (dezoito) anos que não tenha concluído a educação básica se submeter, a despeito do previsto no art. 38, § 1°, II, da Lei n. 9.394/1996 (Lei de Diretrizes e Bases da Educação Nacional), ao sistema de avaliação diferenciado de jovens e adultos - normalmente oferecido pelos Centros de Jovens e Adultos (CEJA's) - de modo a adquirir diploma de conclusão de ensino médio para fins de matrícula em curso de educação superior.",,12805- Acesso sem Conclusão do Ensino Médio
